image_name,method,parameter,PSNR,SSIM,runtime_seconds
camera,noisy_image,-,20.421019331827708,0.2963928471978835,0.0
camera,gaussian_filter,filter_sigma=1.0,27.171125855326714,0.6387131707414204,0.00579889997607097
camera,tikhonov_lambda_1.0,lambda=1.0,26.801758742885763,0.622012538477356,0.021884100046008825
camera,tikhonov_lambda_5.0,lambda=5.0,24.668892718876304,0.6899463443341773,0.01987289998214692
camera,tv_chambolle_weight_0.1,weight=0.1,28.302924553003027,0.7564625467424131,0.30871259997365996
coins,noisy_image,-,20.210118834035406,0.38497748587409947,0.0
coins,gaussian_filter,filter_sigma=1.0,25.67275041905512,0.6655848682659178,0.0013749999925494194
coins,tikhonov_lambda_1.0,lambda=1.0,25.499099619551416,0.6493201878444369,0.013613199989777058
coins,tikhonov_lambda_5.0,lambda=5.0,22.884425892867213,0.6314424636757137,0.013355500006582588
coins,tv_chambolle_weight_0.1,weight=0.1,27.023380355253618,0.7261896335744545,0.016873400018084794
moon,noisy_image,-,20.014427099035398,0.12393875218332757,0.0
moon,gaussian_filter,filter_sigma=1.0,30.575187863724732,0.618611877343606,0.004167499952018261
moon,tikhonov_lambda_1.0,lambda=1.0,30.11085376325653,0.5748031938122892,0.0179704999900423
moon,tikhonov_lambda_5.0,lambda=5.0,34.273729400560526,0.8505192517561494,0.02037619997281581
moon,tv_chambolle_weight_0.1,weight=0.1,35.39306306363256,0.881776189484732,0.3230263000004925
page,noisy_image,-,20.383822126599895,0.45576916740997797,0.0
page,gaussian_filter,filter_sigma=1.0,21.46960118504844,0.6504934870033026,0.000806500029284507
page,tikhonov_lambda_1.0,lambda=1.0,21.70018502763807,0.6418747429224481,0.008234799955971539
page,tikhonov_lambda_5.0,lambda=5.0,19.117248414060178,0.5907504402727792,0.006961500039324164
page,tv_chambolle_weight_0.1,weight=0.1,23.95192599320871,0.8019433283820877,0.0326519999653101
