image_name,method,parameter,PSNR,SSIM,runtime_seconds
camera,blurred_noisy,-,25.4194496795872,0.6994596222248546,0.0
camera,tikhonov_deblur,lambda=0.01,27.757792111354107,0.7469534304568429,0.020557999960146844
camera,tikhonov_deblur,lambda=0.05,27.244470878978294,0.7761913342561136,0.020700299995951355
camera,wiener_deblur,balance=0.01,27.636506518930556,0.7366445936455349,0.018094600061886013
camera,wiener_deblur,balance=0.03,26.745216869115694,0.7728911415756967,0.023090199916623533
coins,blurred_noisy,-,23.383992954516906,0.6377053590839494,0.0
coins,tikhonov_deblur,lambda=0.01,25.465386371473613,0.7227418903878142,0.014291799976490438
coins,tikhonov_deblur,lambda=0.05,24.890715126732253,0.725040025483683,0.014898800058290362
coins,wiener_deblur,balance=0.01,25.441227956871195,0.7177260758558296,0.016406800015829504
coins,wiener_deblur,balance=0.03,24.830566540327474,0.729827202847283,0.012632800033316016
moon,blurred_noisy,-,35.69254061287629,0.8534395429348907,0.0
moon,tikhonov_deblur,lambda=0.01,35.84154411919846,0.835871056129406,0.01961200009100139
moon,tikhonov_deblur,lambda=0.05,38.046600822994044,0.9157499014279968,0.01948930008802563
moon,wiener_deblur,balance=0.01,35.106218250536095,0.8172770694243788,0.019260600092820823
moon,wiener_deblur,balance=0.03,34.69461768645408,0.9005537875667932,0.020620900089852512
page,blurred_noisy,-,18.897999868371365,0.5609786407137771,0.0
page,tikhonov_deblur,lambda=0.01,19.943030781938532,0.6409037410460768,0.008958799997344613
page,tikhonov_deblur,lambda=0.05,19.42180794569631,0.6318768254868107,0.009156999993138015
page,wiener_deblur,balance=0.01,19.972628006106014,0.6378280536761884,0.007414699997752905
page,wiener_deblur,balance=0.03,19.420773159118372,0.6393463955187652,0.007291199988685548
