image_name,method,parameter,PSNR,SSIM,runtime_seconds
camera,noisy_image,-,20.421019331827708,0.2963928471978835,0.0
camera,gaussian_filter,filter_sigma=1.0,27.172610959419153,0.6387436972180254,0.004454500041902065
camera,tv_chambolle,weight=0.1,28.302924553003027,0.7564625467424131,0.266564300050959
camera,nlm_denoising_h_0.08,h=0.08,28.81507958071451,0.7303393968616042,0.17978229990694672
camera,nlm_denoising_h_0.10,h=0.10,28.71054557854591,0.7426570380116012,0.1584957999875769
coins,noisy_image,-,20.210118834035406,0.38497748587409947,0.0
coins,gaussian_filter,filter_sigma=1.0,25.673029002613916,0.6656134405246117,0.0014700000174343586
coins,tv_chambolle,weight=0.1,27.023380355253618,0.7261896335744545,0.016846700105816126
coins,nlm_denoising_h_0.08,h=0.08,27.859150857671175,0.7596467966390325,0.0712127999868244
coins,nlm_denoising_h_0.10,h=0.10,27.63697502917264,0.7655326747701984,0.06966169993393123
moon,noisy_image,-,20.014427099035398,0.12393875218332757,0.0
moon,gaussian_filter,filter_sigma=1.0,30.58115401014576,0.618661147739412,0.004182300064712763
moon,tv_chambolle,weight=0.1,35.39306306363256,0.881776189484732,0.3163886000402272
moon,nlm_denoising_h_0.08,h=0.08,33.393300599225164,0.7607846408026111,0.15093560004606843
moon,nlm_denoising_h_0.10,h=0.10,34.60042656447194,0.8386035904304707,0.27818000002298504
page,noisy_image,-,20.383822126599895,0.45576916740997797,0.0
page,gaussian_filter,filter_sigma=1.0,21.47064221564435,0.6505659626500766,0.001167300040833652
page,tv_chambolle,weight=0.1,23.95192599320871,0.8019433283820877,0.06657399993855506
page,nlm_denoising_h_0.08,h=0.08,26.22669338709096,0.81079158031856,0.08835029997862875
page,nlm_denoising_h_0.10,h=0.10,26.189210336943333,0.8214368812259842,0.14014799997676164
