method,parameter,PSNR,SSIM,runtime_seconds
blurred_noisy,-,25.4194496795872,0.6994596222248546,0.0
tikhonov_deblur,lambda=0.01,27.757792111354107,0.7469534304568429,0.019798199995420873
tikhonov_deblur,lambda=0.05,27.244470878978294,0.7761913342561136,0.019327200017869473
wiener_deblur,balance=0.01,27.636506518930556,0.7366445936455349,0.01939099992159754
wiener_deblur,balance=0.03,26.745216869115694,0.7728911415756967,0.019018999999389052
richardson_lucy,num_iter=5,23.73854453407307,0.7388754107713458,0.0932092999573797
richardson_lucy,num_iter=10,22.563643553440002,0.7457057428064603,0.17712120001669973
richardson_lucy,num_iter=20,21.54451834539747,0.741082820559764,0.35371980001218617
richardson_lucy,num_iter=30,20.93059331939621,0.7319517366367682,0.5337684999685735
richardson_lucy,num_iter=50,20.040791117361,0.7121662394868826,0.9141228999942541
