noise_sigma,method,parameter,PSNR,SSIM,runtime_seconds
0.05,noisy_image,-,26.182126450604493,0.5210113073410765,0.0
0.05,gaussian_filter,filter_sigma=1.0,28.84415746635352,0.7841531263508202,0.005178899969905615
0.05,tikhonov_denoising,lambda=1.0,28.550397756529055,0.7842046815979509,0.016406300012022257
0.05,tv_chambolle,weight=0.1,29.256534692296263,0.7942962296007808,0.11095969995949417
0.05,nlm_denoising,h=0.1,29.049208595808864,0.7634704038547877,0.1506794000742957
0.1,noisy_image,-,20.433002430189685,0.2958994208354754,0.0
0.1,gaussian_filter,filter_sigma=1.0,27.171882108885175,0.6387180081499885,0.0044139999663457274
0.1,tikhonov_denoising,lambda=1.0,26.804716436009524,0.6219345268703513,0.01860330009367317
0.1,tv_chambolle,weight=0.1,28.28810077158733,0.7567768891697777,0.2860239000292495
0.1,nlm_denoising,h=0.1,28.687699629701036,0.7426512940154176,0.15955880004912615
0.2,noisy_image,-,15.04721010328324,0.14382284336565548,0.0
0.2,gaussian_filter,filter_sigma=1.0,23.601005106135318,0.43117177545461705,0.0047333999536931515
0.2,tikhonov_denoising,lambda=1.0,23.18262502667823,0.40341266527660924,0.016727900016121566
0.2,tv_chambolle,weight=0.1,23.605988696331067,0.4736514921438061,0.32253260002471507
0.2,nlm_denoising,h=0.1,20.457782361334008,0.3334416746067573,0.17452160001266748
