method,noise_sigma,parameter_name,parameter_value,PSNR,SSIM,runtime_seconds
noisy_image,0.1,,,20.421019331827708,0.2963928471978835,0.0
gaussian_filter,0.1,filter_sigma,1.0,27.171125855326714,0.6387131707414204,0.004090900009032339
tikhonov,0.1,lambda,0.001,20.45527381431168,0.29737706987175067,0.01849360001506284
tikhonov,0.1,lambda,0.005,20.58975243346905,0.30126455037949595,0.01748610002687201
tikhonov,0.1,lambda,0.01,20.752386654374526,0.30601686474279755,0.018667600001208484
tikhonov,0.1,lambda,0.05,21.873123267520388,0.3404009061395982,0.03782869997667149
tikhonov,0.1,lambda,0.1,22.94504718795133,0.3764316562044804,0.02356209995923564
tikhonov,0.1,lambda,0.2,24.417736999000933,0.4332221154170456,0.027149799978360534
tikhonov,0.1,lambda,0.5,26.324756351224913,0.5387822856705897,0.01956769998650998
tikhonov,0.1,lambda,1.0,26.801758742885763,0.622012538477356,0.019445500045549124
tikhonov,0.1,lambda,2.0,26.204447858401352,0.6781470335045592,0.01817769999615848
tikhonov,0.1,lambda,5.0,24.668892718876304,0.6899463443341773,0.01961499999742955
tikhonov,0.1,lambda,10.0,23.452498458507087,0.6668872931874904,0.018828900007065386
tikhonov,0.1,lambda,20.0,22.319030464180987,0.6353647960321854,0.020305900019593537
