method,noise_sigma,parameter_name,parameter_value,PSNR,SSIM,runtime_seconds
noisy_image,0.1,,,20.421019331827708,0.2963928471978835,0.0
gaussian_filter,0.1,filter_sigma,1.0,27.171125855326714,0.6387131707414204,0.005833600007463247
tikhonov_lambda_1.0,0.1,lambda,1.0,26.801758742885763,0.622012538477356,0.01974249997874722
tikhonov_lambda_5.0,0.1,lambda,5.0,24.668892718876304,0.6899463443341773,0.022106399992480874
tv_chambolle,0.1,weight,0.02,23.54926415802082,0.406828986726577,0.15256700001191348
tv_chambolle,0.1,weight,0.05,27.625561218125636,0.6432862600479347,0.2859162000240758
tv_chambolle,0.1,weight,0.1,28.302924553003027,0.7564625467424131,0.27608139999210835
tv_chambolle,0.1,weight,0.2,26.98620283079485,0.7251159534739534,0.17071869998471811
tv_chambolle,0.1,weight,0.4,25.026652485694957,0.6825790332794376,0.3447288000024855
tv_chambolle,0.1,weight,0.8,23.37220442544153,0.6431939229878162,0.5167582000140101
